CVEs

<html xmlns:v="urn:schemas-microsoft-com:vml"
xmlns:o="urn:schemas-microsoft-com:office:office"
xmlns:x="urn:schemas-microsoft-com:office:excel"
xmlns="http://www.w3.org/TR/REC-html40">

<head>


</head>

<body link="#0563C1" vlink="#954F72">



Resource | Installed Version | Vulnerability Name | NVD CVSS v3 Score | Fix Version | Resource Path
jackson-databind | 2.4.0 | CVE-2019-16942 | 9.8 | 2.6.7.3 | /trino-server-403/plugin/phoenix5/trino-phoenix5-patched-403.jar
jackson-databind | 2.4.0 | CVE-2019-16335 | 9.8 | 2.6.7.3 | /trino-server-403/plugin/phoenix5/trino-phoenix5-patched-403.jar
jackson-databind | 2.4.0 | CVE-2019-14893 | 9.8 | 2.8.11.5 | /trino-server-403/plugin/phoenix5/trino-phoenix5-patched-403.jar
jackson-databind | 2.4.0 | CVE-2019-14892 | 9.8 | 2.6.7.3 | /trino-server-403/plugin/phoenix5/trino-phoenix5-patched-403.jar
jackson-databind | 2.4.0 | CVE-2019-14540 | 9.8 | 2.6.7.3 | /trino-server-403/plugin/phoenix5/trino-phoenix5-patched-403.jar
jackson-databind | 2.4.0 | CVE-2019-14379 | 9.8 | 2.7.9.6 | /trino-server-403/plugin/phoenix5/trino-phoenix5-patched-403.jar
jackson-databind | 2.4.0 | CVE-2018-7489 | 9.8 | 2.8.11.1 | /trino-server-403/plugin/phoenix5/trino-phoenix5-patched-403.jar
jackson-databind | 2.4.0 | CVE-2018-19362 | 9.8 | 2.7.9.5 | /trino-server-403/plugin/phoenix5/trino-phoenix5-patched-403.jar
jackson-databind | 2.4.0 | CVE-2018-19361 | 9.8 | 2.7.9.5 | /trino-server-403/plugin/phoenix5/trino-phoenix5-patched-403.jar
jackson-databind | 2.4.0 | CVE-2018-19360 | 9.8 | 2.7.9.5 | /trino-server-403/plugin/phoenix5/trino-phoenix5-patched-403.jar
jackson-databind | 2.4.0 | CVE-2018-14720 | 9.8 | 2.6.7.2 | /trino-server-403/plugin/phoenix5/trino-phoenix5-patched-403.jar
jackson-databind | 2.4.0 | CVE-2018-14718 | 9.8 | 2.6.7.2 | /trino-server-403/plugin/phoenix5/trino-phoenix5-patched-403.jar
jackson-databind | 2.4.0 | CVE-2020-9548 | 9.8 | 2.7.9.7 | /trino-server-403/plugin/phoenix5/trino-phoenix5-patched-403.jar
jackson-databind | 2.4.0 | CVE-2020-9547 | 9.8 |   | /trino-server-403/plugin/phoenix5/trino-phoenix5-patched-403.jar
jackson-databind | 2.4.0 | CVE-2020-9546 | 9.8 |   | /trino-server-403/plugin/phoenix5/trino-phoenix5-patched-403.jar
jackson-databind | 2.4.0 | CVE-2020-8840 | 9.8 | 2.7.9.7 | /trino-server-403/plugin/phoenix5/trino-phoenix5-patched-403.jar
jackson-databind | 2.4.0 | CVE-2018-11307 | 9.8 | 2.6.7.3 | /trino-server-403/plugin/phoenix5/trino-phoenix5-patched-403.jar
jackson-databind | 2.4.0 | CVE-2017-7525 | 9.8 | 2.6.7.1 | /trino-server-403/plugin/phoenix5/trino-phoenix5-patched-403.jar
jackson-databind | 2.4.0 | CVE-2017-17485 | 9.8 | 2.8.11 | /trino-server-403/plugin/phoenix5/trino-phoenix5-patched-403.jar
jackson-databind | 2.4.0 | CVE-2017-15095 | 9.8 | 2.6.7.3 | /trino-server-403/plugin/phoenix5/trino-phoenix5-patched-403.jar
netty-all | 4.1.29.Final | CVE-2019-20445 | 9.1 | 4.1.44.Final | /trino-server-403/plugin/thrift/netty-all-4.1.29.Final.jar
netty-all | 4.1.29.Final | CVE-2019-20444 | 9.1 | 4.1.44.Final | /trino-server-403/plugin/thrift/netty-all-4.1.29.Final.jar
netty | 3.10.5.Final | CVE-2019-20444 | 9.1 | 4.1.44 | /trino-server-403/plugin/phoenix5/trino-phoenix5-patched-403.jar
netty | 3.10.5.Final | CVE-2019-20445 | 9.1 | 4.1.44 | /trino-server-403/plugin/phoenix5/trino-phoenix5-patched-403.jar
netty-all | 4.1.34.Final | CVE-2019-20445 | 9.1 | 4.1.44.Final | /trino-server-403/plugin/phoenix5/trino-phoenix5-patched-403.jar
netty-all | 4.1.34.Final | CVE-2019-20444 | 9.1 | 4.1.44.Final | /trino-server-403/plugin/phoenix5/trino-phoenix5-patched-403.jar
h2 | 1.4.200 | CVE-2021-23463 | 9.1 | 2.0.202 | /trino-server-403/plugin/raptor-legacy/h2-1.4.200.jar
ivy | 2.4.0 | CVE-2022-37865 | 9.1 | 2.5.1 | /trino-server-403/plugin/hive/ivy-2.4.0.jar
ivy | 2.4.0 | CVE-2022-37865 | 9.1 | 2.5.1 | /trino-server-403/plugin/delta-lake/ivy-2.4.0.jar
ivy | 2.4.0 | CVE-2022-37865 | 9.1 | 2.5.1 | /trino-server-403/plugin/iceberg/ivy-2.4.0.jar
ivy | 2.4.0 | CVE-2022-37865 | 9.1 | 2.5.1 | /trino-server-403/plugin/hudi/ivy-2.4.0.jar
hadoop-hdfs-client | 3.1.3 | CVE-2020-9492 | 8.8 |   | /trino-server-403/plugin/phoenix5/trino-phoenix5-patched-403.jar
log4j | 1.2.17 | CVE-2022-23307 | 8.8 |   | /trino-server-403/plugin/accumulo/log4j-1.2.17.jar
log4j | 1.2.17 | CVE-2022-23302 | 8.8 |   | /trino-server-403/plugin/accumulo/log4j-1.2.17.jar
log4j | 1.2.17 | CVE-2022-23307 | 8.8 |   | /trino-server-403/plugin/phoenix5/trino-phoenix5-patched-403.jar
log4j | 1.2.17 | CVE-2022-23302 | 8.8 |   | /trino-server-403/plugin/phoenix5/trino-phoenix5-patched-403.jar
hadoop-common | 3.1.3 | CVE-2020-9492 | 8.8 | 3.1.4 | /trino-server-403/plugin/phoenix5/trino-phoenix5-patched-403.jar
avatica-core | 1.20.0 | CVE-2022-36364 | 8.8 | 1.22.0 | /trino-server-403/plugin/pinot/avatica-core-1.20.0.jar
protobuf-java | 2.5.0 | CVE-2015-5237 | 8.8 | 3.4.0 | /trino-server-403/plugin/iceberg/orc-core-1.7.5-nohive.jar
avatica-core | 1.15.0 | CVE-2022-36364 | 8.8 | 1.22.0 | /trino-server-403/plugin/delta-lake/calcite-core-1.21.0.152-shaded.jar
avatica-core | 1.15.0 | CVE-2022-36364 | 8.8 | 1.22.0 | /trino-server-403/plugin/hudi/calcite-core-1.21.0.152-shaded.jar
avatica-core | 1.15.0 | CVE-2022-36364 | 8.8 | 1.22.0 | /trino-server-403/plugin/hive/calcite-core-1.21.0.152-shaded.jar
jackson-databind | 2.4.0 | CVE-2020-11113 | 8.8 |   | /trino-server-403/plugin/phoenix5/trino-phoenix5-patched-403.jar
jackson-databind | 2.4.0 | CVE-2020-11112 | 8.8 | 2.9.10.4 | /trino-server-403/plugin/phoenix5/trino-phoenix5-patched-403.jar
jackson-databind | 2.4.0 | CVE-2020-11111 | 8.8 | 2.9.10.4 | /trino-server-403/plugin/phoenix5/trino-phoenix5-patched-403.jar
jackson-databind | 2.4.0 | CVE-2020-10969 | 8.8 |   | /trino-server-403/plugin/phoenix5/trino-phoenix5-patched-403.jar
jackson-databind | 2.4.0 | CVE-2020-10968 | 8.8 |   | /trino-server-403/plugin/phoenix5/trino-phoenix5-patched-403.jar
jackson-databind | 2.4.0 | CVE-2020-10673 | 8.8 | 2.6.7.4 | /trino-server-403/plugin/phoenix5/trino-phoenix5-patched-403.jar
jackson-databind | 2.4.0 | CVE-2020-10672 | 8.8 | 2.9.10.4 | /trino-server-403/plugin/phoenix5/trino-phoenix5-patched-403.jar
log4j | 1.2.17 | CVE-2021-4104 | 8.1 | 2.16.0 | /trino-server-403/plugin/accumulo/log4j-1.2.17.jar
log4j | 1.2.17 | CVE-2021-4104 | 8.1 | 2.16.0 | /trino-server-403/plugin/phoenix5/trino-phoenix5-patched-403.jar
accumulo-core | 1.7.4 | CVE-2020-17533 | 8.1 | 1.10.1 | /trino-server-403/plugin/accumulo/accumulo-core-1.7.4.jar
jackson-databind | 2.4.0 | CVE-2018-5968 | 8.1 | 2.8.11 | /trino-server-403/plugin/phoenix5/trino-phoenix5-patched-403.jar
jackson-databind | 2.4.0 | CVE-2020-36189 | 8.1 | 2.9.10.8 | /trino-server-403/plugin/phoenix5/trino-phoenix5-patched-403.jar
jackson-databind | 2.4.0 | CVE-2020-36188 | 8.1 | 2.9.10.8 | /trino-server-403/plugin/phoenix5/trino-phoenix5-patched-403.jar
jackson-databind | 2.4.0 | CVE-2020-36187 | 8.1 | 2.9.10.8 | /trino-server-403/plugin/phoenix5/trino-phoenix5-patched-403.jar
jackson-databind | 2.4.0 | CVE-2020-36186 | 8.1 | 2.9.10.8 | /trino-server-403/plugin/phoenix5/trino-phoenix5-patched-403.jar
jackson-databind | 2.4.0 | CVE-2020-35490 | 8.1 | 2.9.10.8 | /trino-server-403/plugin/phoenix5/trino-phoenix5-patched-403.jar
jackson-databind | 2.4.0 | CVE-2020-36185 | 8.1 | 2.9.10.8 | /trino-server-403/plugin/phoenix5/trino-phoenix5-patched-403.jar
jackson-databind | 2.4.0 | CVE-2020-24750 | 8.1 | 2.9.10.6 | /trino-server-403/plugin/phoenix5/trino-phoenix5-patched-403.jar
jackson-databind | 2.4.0 | CVE-2020-24616 | 8.1 | 2.9.10.6 | /trino-server-403/plugin/phoenix5/trino-phoenix5-patched-403.jar
jackson-databind | 2.4.0 | CVE-2020-36184 | 8.1 | 2.9.10.8 | /trino-server-403/plugin/phoenix5/trino-phoenix5-patched-403.jar
jackson-databind | 2.4.0 | CVE-2020-36182 | 8.1 | 2.9.10.8 | /trino-server-403/plugin/phoenix5/trino-phoenix5-patched-403.jar
jackson-databind | 2.4.0 | CVE-2020-14195 | 8.1 | 2.9.10.5 | /trino-server-403/plugin/phoenix5/trino-phoenix5-patched-403.jar
jackson-databind | 2.4.0 | CVE-2020-36181 | 8.1 | 2.9.10.8 | /trino-server-403/plugin/phoenix5/trino-phoenix5-patched-403.jar
jackson-databind | 2.4.0 | CVE-2020-14062 | 8.1 | 2.9.10.5 | /trino-server-403/plugin/phoenix5/trino-phoenix5-patched-403.jar
jackson-databind | 2.4.0 | CVE-2020-36179 | 8.1 | 2.9.10.8 | /trino-server-403/plugin/phoenix5/trino-phoenix5-patched-403.jar
jackson-databind | 2.4.0 | CVE-2020-14061 | 8.1 | 2.9.10.5 | /trino-server-403/plugin/phoenix5/trino-phoenix5-patched-403.jar
jackson-databind | 2.4.0 | CVE-2020-35728 | 8.1 | 2.9.10.8 | /trino-server-403/plugin/phoenix5/trino-phoenix5-patched-403.jar
jackson-databind | 2.4.0 | CVE-2020-14060 | 8.1 | 2.6.7.4 | /trino-server-403/plugin/phoenix5/trino-phoenix5-patched-403.jar
jackson-databind | 2.4.0 | CVE-2020-35491 | 8.1 | 2.9.10.8 | /trino-server-403/plugin/phoenix5/trino-phoenix5-patched-403.jar
jackson-databind | 2.4.0 | CVE-2020-11620 | 8.1 | 2.9.10.4 | /trino-server-403/plugin/phoenix5/trino-phoenix5-patched-403.jar
jackson-databind | 2.4.0 | CVE-2020-11619 | 8.1 |   | /trino-server-403/plugin/phoenix5/trino-phoenix5-patched-403.jar
netty | 3.2.6.Final | CVE-2019-16869 | 7.5 | 4.1.42 | /trino-server-403/plugin/phoenix5/trino-phoenix5-patched-403.jar
protobuf-java | 3.11.4 | CVE-2022-3171 | 7.5 | 3.16.3 | /trino-server-403/plugin/resource-group-managers/protobuf-java-3.11.4.jar
protobuf-java | 3.11.4 | CVE-2022-3171 | 7.5 | 3.16.3 | /trino-server-403/plugin/mysql/protobuf-java-3.11.4.jar
protobuf-java | 3.11.4 | CVE-2022-3171 | 7.5 | 3.16.3 | /trino-server-403/plugin/session-property-managers/protobuf-java-3.11.4.jar
protobuf-java | 3.11.4 | CVE-2022-3171 | 7.5 | 3.16.3 | /trino-server-403/plugin/raptor-legacy/protobuf-java-3.11.4.jar
jettison | 1.1 | CVE-2022-40150 | 7.5 |   | /trino-server-403/plugin/phoenix5/trino-phoenix5-patched-403.jar
jettison | 1.1 | CVE-2022-40149 | 7.5 | 1.5.1 | /trino-server-403/plugin/phoenix5/trino-phoenix5-patched-403.jar
netty-all | 4.1.29.Final | CVE-2019-9518 | 7.5 | 4.1.39.Final | /trino-server-403/plugin/thrift/netty-all-4.1.29.Final.jar
netty-all | 4.1.29.Final | CVE-2019-16869 | 7.5 | 4.1.42.Final | /trino-server-403/plugin/thrift/netty-all-4.1.29.Final.jar
snakeyaml | 1.11 | CVE-2022-25857 | 7.5 | 1.31 | /trino-server-403/plugin/phoenix5/trino-phoenix5-patched-403.jar
snakeyaml | 1.11 | CVE-2017-18640 | 7.5 | 1.26 | /trino-server-403/plugin/phoenix5/trino-phoenix5-patched-403.jar
protobuf-java | 3.19.2 | CVE-2022-3171 | 7.5 | 3.19.6 | /trino-server-403/plugin/hudi/alluxio-shaded-client-2.8.1.jar
protobuf-java | 3.19.2 | CVE-2022-3171 | 7.5 | 3.19.6 | /trino-server-403/plugin/iceberg/gcs-connector-hadoop2-2.2.8-shaded.jar
protobuf-java | 3.19.2 | CVE-2022-3171 | 7.5 | 3.19.6 | /trino-server-403/plugin/hive/gcs-connector-hadoop2-2.2.8-shaded.jar
protobuf-java | 3.19.2 | CVE-2022-3171 | 7.5 | 3.19.6 | /trino-server-403/plugin/hive/alluxio-shaded-client-2.8.1.jar
jetty-server | 9.3.24.v20180605 | CVE-2018-12545 | 7.5 | 9.3.25.v20180904 | /trino-server-403/plugin/phoenix5/trino-phoenix5-patched-403.jar
protobuf-java | 3.7.1 | CVE-2022-3171 | 7.5 | 3.16.3 | /trino-server-403/plugin/phoenix5/trino-phoenix5-patched-403.jar
jackson-databind | 2.9.10.8 | CVE-2022-42003 | 7.5 | 2.12.7.1 | /trino-server-403/plugin/hudi/calcite-core-1.21.0.152-shaded.jar
jackson-databind | 2.9.10.8 | CVE-2022-42004 | 7.5 | 2.12.7.1 | /trino-server-403/plugin/hudi/calcite-core-1.21.0.152-shaded.jar
jackson-databind | 2.9.10.8 | CVE-2020-36518 | 7.5 | 2.12.6.1 | /trino-server-403/plugin/hudi/calcite-core-1.21.0.152-shaded.jar
jackson-databind | 2.9.10.8 | CVE-2022-42003 | 7.5 | 2.12.7.1 | /trino-server-403/plugin/delta-lake/calcite-core-1.21.0.152-shaded.jar
jackson-databind | 2.9.10.8 | CVE-2022-42004 | 7.5 | 2.12.7.1 | /trino-server-403/plugin/delta-lake/calcite-core-1.21.0.152-shaded.jar
jackson-databind | 2.9.10.8 | CVE-2020-36518 | 7.5 | 2.12.6.1 | /trino-server-403/plugin/delta-lake/calcite-core-1.21.0.152-shaded.jar
jackson-databind | 2.9.10.8 | CVE-2022-42003 | 7.5 | 2.12.7.1 | /trino-server-403/plugin/hive/calcite-core-1.21.0.152-shaded.jar
jackson-databind | 2.9.10.8 | CVE-2022-42004 | 7.5 | 2.12.7.1 | /trino-server-403/plugin/hive/calcite-core-1.21.0.152-shaded.jar
jackson-databind | 2.9.10.8 | CVE-2020-36518 | 7.5 | 2.12.6.1 | /trino-server-403/plugin/hive/calcite-core-1.21.0.152-shaded.jar
woodstox-core | 6.2.7 | CVE-2022-40152 | 7.5 | 6.4.0 | /trino-server-403/plugin/exchange-filesystem/woodstox-core-6.2.7.jar
woodstox-core | 6.2.7 | CVE-2022-40153 | 7.5 | 6.4.0 | /trino-server-403/plugin/exchange-filesystem/woodstox-core-6.2.7.jar
gson | 2.8.5 | CVE-2022-25647 | 7.5 | 2.8.9 | /trino-server-403/plugin/phoenix5/trino-phoenix5-patched-403.jar
gson | 2.8.6 | CVE-2022-25647 | 7.5 | 2.8.9 | /trino-server-403/plugin/pinot/gson-2.8.6.jar
netty | 3.10.5.Final | CVE-2019-16869 | 7.5 | 4.1.42 | /trino-server-403/plugin/phoenix5/trino-phoenix5-patched-403.jar
netty-codec | 4.1.60.Final | CVE-2021-37137 | 7.5 | 4.1.68.Final | /trino-server-403/plugin/cassandra/netty-codec-4.1.60.Final.jar
netty-codec | 4.1.60.Final | CVE-2021-37136 | 7.5 | 4.1.68.Final | /trino-server-403/plugin/cassandra/netty-codec-4.1.60.Final.jar
protobuf-java | 3.6.1 | CVE-2022-3171 | 7.5 | 3.16.3 | /trino-server-403/plugin/hive/calcite-core-1.21.0.152-shaded.jar
protobuf-java | 3.6.1 | CVE-2022-3171 | 7.5 | 3.16.3 | /trino-server-403/plugin/hudi/calcite-core-1.21.0.152-shaded.jar
protobuf-java | 3.6.1 | CVE-2022-3171 | 7.5 | 3.16.3 | /trino-server-403/plugin/delta-lake/calcite-core-1.21.0.152-shaded.jar
woodstox-core | 5.0.3 | CVE-2022-40152 | 7.5 | 5.4.0 | /trino-server-403/plugin/phoenix5/trino-phoenix5-patched-403.jar
woodstox-core | 5.0.3 | CVE-2022-40153 | 7.5 | 5.4.0 | /trino-server-403/plugin/phoenix5/trino-phoenix5-patched-403.jar
jackson-databind | 2.13.3 | CVE-2022-42003 | 7.5 | 2.13.4.1 | /trino-server-403/plugin/hive/alluxio-shaded-client-2.8.1.jar
jackson-databind | 2.13.3 | CVE-2022-42004 | 7.5 | 2.13.4 | /trino-server-403/plugin/hive/alluxio-shaded-client-2.8.1.jar
jackson-databind | 2.13.3 | CVE-2022-42003 | 7.5 | 2.13.4.1 | /trino-server-403/plugin/delta-lake/alluxio-shaded-client-2.8.1.jar
jackson-databind | 2.13.3 | CVE-2022-42004 | 7.5 | 2.13.4 | /trino-server-403/plugin/delta-lake/alluxio-shaded-client-2.8.1.jar
jackson-databind | 2.13.3 | CVE-2022-42003 | 7.5 | 2.13.4.1 | /trino-server-403/plugin/hudi/alluxio-shaded-client-2.8.1.jar
jackson-databind | 2.13.3 | CVE-2022-42004 | 7.5 | 2.13.4 | /trino-server-403/plugin/hudi/alluxio-shaded-client-2.8.1.jar
jackson-databind | 2.13.3 | CVE-2022-42003 | 7.5 | 2.13.4.1 | /trino-server-403/plugin/iceberg/alluxio-shaded-client-2.8.1.jar
jackson-databind | 2.13.3 | CVE-2022-42004 | 7.5 | 2.13.4 | /trino-server-403/plugin/iceberg/alluxio-shaded-client-2.8.1.jar
gson | 2.7 | CVE-2022-25647 | 7.5 | 2.8.9 | /trino-server-403/plugin/hive/rubix-presto-shaded-0.3.18.jar
gson | 2.7 | CVE-2022-25647 | 7.5 | 2.8.9 | /trino-server-403/plugin/hudi/rubix-presto-shaded-0.3.18.jar
gson | 2.7 | CVE-2022-25647 | 7.5 | 2.8.9 | /trino-server-403/plugin/iceberg/rubix-presto-shaded-0.3.18.jar
gson | 2.7 | CVE-2022-25647 | 7.5 | 2.8.9 | /trino-server-403/plugin/delta-lake/rubix-presto-shaded-0.3.18.jar
netty-all | 4.1.34.Final | CVE-2019-9518 | 7.5 | 4.1.39.Final | /trino-server-403/plugin/phoenix5/trino-phoenix5-patched-403.jar
netty-all | 4.1.34.Final | CVE-2019-16869 | 7.5 | 4.1.42.Final | /trino-server-403/plugin/phoenix5/trino-phoenix5-patched-403.jar
jackson-databind | 2.13.4 | CVE-2022-42003 | 7.5 | 2.13.4.1 | /trino-server-403/plugin/exchange-filesystem/jackson-databind-2.13.4.jar
jackson-databind | 2.13.4 | CVE-2022-42003 | 7.5 | 2.13.4.1 | /trino-server-403/plugin/kafka/jackson-databind-2.13.4.jar
jackson-databind | 2.13.4 | CVE-2022-42003 | 7.5 | 2.13.4.1 | /trino-server-403/plugin/iceberg/jackson-databind-2.13.4.jar
jackson-databind | 2.13.4 | CVE-2022-42003 | 7.5 | 2.13.4.1 | /trino-server-403/plugin/local-file/jackson-databind-2.13.4.jar
jackson-databind | 2.13.4 | CVE-2022-42003 | 7.5 | 2.13.4.1 | /trino-server-403/plugin/singlestore/jackson-databind-2.13.4.jar
jackson-databind | 2.13.4 | CVE-2022-42003 | 7.5 | 2.13.4.1 | /trino-server-403/plugin/elasticsearch/jackson-databind-2.13.4.jar
jackson-databind | 2.13.4 | CVE-2022-42003 | 7.5 | 2.13.4.1 | /trino-server-403/plugin/jmx/jackson-databind-2.13.4.jar
jackson-databind | 2.13.4 | CVE-2022-42003 | 7.5 | 2.13.4.1 | /trino-server-403/plugin/mongodb/jackson-databind-2.13.4.jar
jackson-databind | 2.13.4 | CVE-2022-42003 | 7.5 | 2.13.4.1 | /trino-server-403/plugin/bigquery/jackson-databind-2.13.4.jar
jackson-databind | 2.13.4 | CVE-2022-42003 | 7.5 | 2.13.4.1 | /trino-server-403/plugin/password-authenticators/jackson-databind-2.13.4.jar
jackson-databind | 2.13.4 | CVE-2022-42003 | 7.5 | 2.13.4.1 | /trino-server-403/lib/jackson-databind-2.13.4.jar
jackson-databind | 2.13.4 | CVE-2022-42003 | 7.5 | 2.13.4.1 | /trino-server-403/plugin/blackhole/jackson-databind-2.13.4.jar
jackson-databind | 2.13.4 | CVE-2022-42003 | 7.5 | 2.13.4.1 | /trino-server-403/plugin/kudu/jackson-databind-2.13.4.jar
jackson-databind | 2.13.4 | CVE-2022-42003 | 7.5 | 2.13.4.1 | /trino-server-403/plugin/raptor-legacy/jackson-databind-2.13.4.jar
jackson-databind | 2.13.4 | CVE-2022-42003 | 7.5 | 2.13.4.1 | /trino-server-403/plugin/kinesis/jackson-databind-2.13.4.jar
jackson-databind | 2.13.4 | CVE-2022-42003 | 7.5 | 2.13.4.1 | /trino-server-403/plugin/hudi/jackson-databind-2.13.4.jar
jackson-databind | 2.13.4 | CVE-2022-42003 | 7.5 | 2.13.4.1 | /trino-server-403/plugin/delta-lake/jackson-databind-2.13.4.jar
jackson-databind | 2.13.4 | CVE-2022-42003 | 7.5 | 2.13.4.1 | /trino-server-403/plugin/redshift/jackson-databind-2.13.4.jar
jackson-databind | 2.13.4 | CVE-2022-42003 | 7.5 | 2.13.4.1 | /trino-server-403/plugin/http-event-listener/jackson-databind-2.13.4.jar
jackson-databind | 2.13.4 | CVE-2022-42003 | 7.5 | 2.13.4.1 | /trino-server-403/plugin/prometheus/jackson-databind-2.13.4.jar
jackson-databind | 2.13.4 | CVE-2022-42003 | 7.5 | 2.13.4.1 | /trino-server-403/plugin/geospatial/jackson-databind-2.13.4.jar
jackson-databind | 2.13.4 | CVE-2022-42003 | 7.5 | 2.13.4.1 | /trino-server-403/plugin/accumulo/jackson-databind-2.13.4.jar
jackson-databind | 2.13.4 | CVE-2022-42003 | 7.5 | 2.13.4.1 | /trino-server-403/plugin/tpcds/jackson-databind-2.13.4.jar
jackson-databind | 2.13.4 | CVE-2022-42003 | 7.5 | 2.13.4.1 | /trino-server-403/plugin/clickhouse/jackson-databind-2.13.4.jar
jackson-databind | 2.13.4 | CVE-2022-42003 | 7.5 | 2.13.4.1 | /trino-server-403/plugin/resource-group-managers/jackson-databind-2.13.4.jar
jackson-databind | 2.13.4 | CVE-2022-42003 | 7.5 | 2.13.4.1 | /trino-server-403/plugin/pinot/jackson-databind-2.13.4.jar
jackson-databind | 2.13.4 | CVE-2022-42003 | 7.5 | 2.13.4.1 | /trino-server-403/plugin/ml/jackson-databind-2.13.4.jar
jackson-databind | 2.13.4 | CVE-2022-42003 | 7.5 | 2.13.4.1 | /trino-server-403/plugin/thrift/jackson-databind-2.13.4.jar
jackson-databind | 2.13.4 | CVE-2022-42003 | 7.5 | 2.13.4.1 | /trino-server-403/plugin/hive/jackson-databind-2.13.4.jar
jackson-databind | 2.13.4 | CVE-2022-42003 | 7.5 | 2.13.4.1 | /trino-server-403/plugin/mysql/jackson-databind-2.13.4.jar
jackson-databind | 2.13.4 | CVE-2022-42003 | 7.5 | 2.13.4.1 | /trino-server-403/plugin/atop/jackson-databind-2.13.4.jar
jackson-databind | 2.13.4 | CVE-2022-42003 | 7.5 | 2.13.4.1 | /trino-server-403/plugin/mariadb/jackson-databind-2.13.4.jar
jackson-databind | 2.13.4 | CVE-2022-42003 | 7.5 | 2.13.4.1 | /trino-server-403/plugin/cassandra/jackson-databind-2.13.4.jar
jackson-databind | 2.13.4 | CVE-2022-42003 | 7.5 | 2.13.4.1 | /trino-server-403/plugin/oracle/jackson-databind-2.13.4.jar
jackson-databind | 2.13.4 | CVE-2022-42003 | 7.5 | 2.13.4.1 | /trino-server-403/plugin/phoenix5/jackson-databind-2.13.4.jar
jackson-databind | 2.13.4 | CVE-2022-42003 | 7.5 | 2.13.4.1 | /trino-server-403/plugin/druid/jackson-databind-2.13.4.jar
jackson-databind | 2.13.4 | CVE-2022-42003 | 7.5 | 2.13.4.1 | /trino-server-403/plugin/postgresql/jackson-databind-2.13.4.jar
jackson-databind | 2.13.4 | CVE-2022-42003 | 7.5 | 2.13.4.1 | /trino-server-403/plugin/google-sheets/jackson-databind-2.13.4.jar
jackson-databind | 2.13.4 | CVE-2022-42003 | 7.5 | 2.13.4.1 | /trino-server-403/plugin/session-property-managers/jackson-databind-2.13.4.jar
jackson-databind | 2.13.4 | CVE-2022-42003 | 7.5 | 2.13.4.1 | /trino-server-403/plugin/memory/jackson-databind-2.13.4.jar
jackson-databind | 2.13.4 | CVE-2022-42003 | 7.5 | 2.13.4.1 | /trino-server-403/plugin/redis/jackson-databind-2.13.4.jar
