There is a huge discrepancy between the ORC and the Parquet reader
I am not sure why this is happening but the ORC reader seems to be reading a lot more than it is supposed to.

I have a large dataset 900GB / 6.124.505.638 rows,  which I am playing with. I have the same table definition for 2 tables, the only difference is that one table is Parquet and the other once is ORC. I have ETLed in the data with Hive/MR to both tables (AWS S3). I started to play around with the Parquet reader when I have noticed this discrepancy between how much of these readers are actually reading from S3.

Example queries:

``` sql
set session hive.parquet_predicate_pushdown_enabled = false;
set session hive.parquet_optimized_reader_enabled=false;

presto:db> select count(1) from test_orc_opt_6
 where partitioning_key = 201410 AND field0='x' AND field1=2014;
  _col0
----------
 55255029
(1 row)

Query 20180914_190419_00098_camvu, FINISHED, 25 nodes
Splits: 142 total, 142 done (100.00%)
0:03 [86M rows, 3.5GB] [34M rows/s, 1.38GB/s]

presto:db> select count(1) from test_parquet_opt_7 
where partitioning_key = 201410 AND field0='x' AND field1=2014;

  _col0
----------
 55255029
(1 row)

Query 20180914_190349_00097_camvu, FINISHED, 25 nodes
Splits: 142 total, 142 done (100.00%)
0:05 [86.4M rows, 3.5GB] [17.9M rows/s, 743MB/s]
```

If I compare this to the following when I enable predicate pushdown for the Parquet reader I very different numbers for the amount of data read.


```sql
presto:db> select count(1) from test_parquet_opt_7
 where partitioning_key = 201410 AND field0='x' AND field1=2014;

  _col0
----------
 55255029
(1 row)

Query 20180914_190733_00106_camvu, FINISHED, 25 nodes
Splits: 142 total, 142 done (100.00%)
0:19 [86.4M rows, 3.25MB] [4.5M rows/s, 173KB/s]
```

Presto version: 0.203 (AWS EMR)

Settings: 

```
                    Name                     |     Value      |    Default     |  Type   |                                             Description
 legacy_row_field_ordinal_access              | false          | false          | boolean | Allow accessing anonymous row field with .field0, .field1, ...
 optimize_hash_generation                     | true           | true           | boolean | Compute hash codes for distribution, joins, and aggregations early in query plan
 optimize_metadata_queries                    | false          | false          | boolean | Enable optimization for metadata queries
 optimize_mixed_distinct_aggregations         | false          | false          | boolean | Optimize mixed non-distinct and distinct aggregations
 parse_decimal_literals_as_double             | false          | false          | boolean | Parse decimal literals as DOUBLE instead of DECIMAL
 plan_with_table_node_partitioning            | true           | true           | boolean | Experimental: Adapt plan to pre-partitioned tables
 prefer_partial_aggregation                   | true           | true           | boolean | Prefer splitting aggregations into partial and final stages
 prefer_streaming_operators                   | false          | false          | boolean | Prefer source table layouts that produce streaming operators
 push_aggregation_through_join                | true           | true           | boolean | Allow pushing aggregations below joins
 push_partial_aggregation_through_join        | false          | false          | boolean | Push partial aggregations below joins
 push_table_write_through_union               | true           | true           | boolean | Parallelize writes when using UNION ALL in queries that write data
 query_max_cpu_time                           | 1000000000.00d | 1000000000.00d | varchar | Maximum CPU time of a query
 query_max_execution_time                     | 100.00d        | 100.00d        | varchar | Maximum execution time of a query
 query_max_run_time                           | 100.00d        | 100.00d        | varchar | Maximum run time of a query (includes the queueing time)
 query_priority                               | 1              | 1              | integer | The priority of queries. Larger numbers are higher priority
 redistribute_writes                          | true           | true           | boolean | Force parallel distributed writes
 reorder_joins                                | true           | true           | boolean | Experimental: Reorder joins to optimize plan
 resource_overcommit                          | false          | false          | boolean | Use resources which are not guaranteed to be available to the query
 scale_writers                                | false          | false          | boolean | Scale out writers based on throughput (use minimum necessary)
 spatial_join                                 | true           | true           | boolean | Use spatial index for spatial join when possible
 spill_enabled                                | false          | false          | boolean | Experimental: Enable spilling
 split_concurrency_adjustment_interval        | 100.00ms       | 100.00ms       | varchar | Experimental: Interval between changes to the number of concurrent splits per node
 task_concurrency                             | 16             | 16             | bigint  | Default number of local parallel jobs per worker
task_share_index_loading                     | false          | false          | boolean | Share index join lookups and caching within a task
 task_writer_count                            | 1              | 1              | bigint  | Default number of local parallel table writer jobs per worker
 use_mark_distinct                            | true           | true           | boolean | Implement DISTINCT aggregations using MarkDistinct
 writer_min_size                              | 32MB           | 32MB           | varchar | Target minimum size of writer output when scaling writers
 hive.bucket_execution_enabled                | true           | true           | boolean | Enable bucket-aware execution: only use a single worker per bucket
 hive.force_local_scheduling                  | false          | false          | boolean | Only schedule splits on workers colocated with data node
 hive.hive_storage_format                     | RCBINARY       | RCBINARY       | varchar | Default storage format for new tables or partitions
 hive.orc_bloom_filters_enabled               | false          | false          | boolean | ORC: Enable bloom filters for predicate pushdown
 hive.orc_lazy_read_small_ranges              | true           | true           | boolean | Experimental: ORC: Read small file segments lazily
 hive.orc_max_buffer_size                     | 8MB            | 8MB            | varchar | ORC: Maximum size of a single read
 hive.orc_max_merge_distance                  | 1MB            | 1MB            | varchar | ORC: Maximum size of gap between two reads to merge into a single read
 hive.orc_max_read_block_size                 | 16MB           | 16MB           | varchar | ORC: Soft max size of Presto blocks produced by ORC reader
 hive.orc_optimized_writer_enabled            | false          | false          | boolean | Experimental: ORC: Enable optimized writer
 hive.orc_optimized_writer_max_stripe_size    | 64MB           | 64MB           | varchar | Experimental: ORC: Max stripe size
 hive.orc_optimized_writer_validate           | true           | true           | boolean | Experimental: ORC: Force all validation for files
 hive.orc_optimized_writer_validate_mode      | BOTH           | BOTH           | varchar | Experimental: ORC: Level of detail in ORC validation
 hive.orc_stream_buffer_size                  | 8MB            | 8MB            | varchar | ORC: Size of buffer for streaming reads
 hive.orc_string_statistics_limit             | 64B            | 64B            | varchar | ORC: Maximum size of string statistics; drop if exceeding
 hive.orc_tiny_stripe_threshold               | 8MB            | 8MB            | varchar | ORC: Threshold below which an ORC stripe or file will read in its entirety
 hive.parquet_optimized_reader_enabled        | true           | false          | boolean | Experimental: Parquet: Enable optimized reader
 hive.parquet_predicate_pushdown_enabled      | true           | false          | boolean | Experimental: Parquet: Enable predicate pushdown for Parquet
 hive.rcfile_optimized_writer_enabled         | true           | true           | boolean | Experimental: RCFile: Enable optimized writer
 hive.rcfile_optimized_writer_validate        | false          | false          | boolean | Experimental: RCFile: Validate writer files
 hive.respect_table_format                    | true           | true           | boolean | Write new partitions using table format rather than default storage format
 hive.sorted_writing_enabled                  | true           | true           | boolean | Enable writing to bucketed sorted tables
 hive.statistics_enabled                      | true           | true           | boolean | Experimental: Expose table statistics
 hive.writer_sort_buffer_size                 | 64MB           | 64MB           | varchar | Writer sort buffer size
(68 rows)
```
Not sure why is this. ORC has predicate pushdown yet according to the query summary the entire partition is read. While it is obvious for the Parquet reader that the entire partition is read by default (ppd off by default) and after enabling predicate pushdown a small amount of data is read (even though the query execution is much slower). What am I not considering here?

