Query stuck at 99%
0.0 - 0.9 are blocked. Looks like some sort of deadlock.

Not quite sure how to debug it and what information it might be useful to attach to the issue.

In query details I see the following:
> 
> ID |  HOST | STATE | -- | -- | Blocked splits | Completed splits | -- | -- | -- | -- | -- | -- | --
> 1.3 |  #.#.#.# | FINISHED | 0 | 0 | 0 | 112 | 26.9M | 106K | 2.41G | 9.75M | 4.22m | 3.20m | 0
> 1.4 |  #.#.#.# | FINISHED | 0 | 0 | 0 | 112 | 26.9M | 106K | 2.41G | 9.75M | 4.22m | 3.10m | 0
> 1.5 |  #.#.#.# | FINISHED | 0 | 0 | 0 | 112 | 26.9M | 106K | 2.41G | 9.72M | 4.23m | 3.21m | 0
> 1.6 |  #.#.#.# | FINISHED | 0 | 0 | 0 | 112 | 26.9M | 106K | 2.41G | 9.75M | 4.22m | 3.26m | 0
> 1.7 |  #.#.#.# | FINISHED | 0 | 0 | 0 | 112 | 26.9M | 106K | 2.41G | 9.75M | 4.22m | 3.17m | 0
> 1.8 |  #.#.#.# | FINISHED | 0 | 0 | 0 | 112 | 26.9M | 106K | 2.41G | 9.75M | 4.22m | 3.19m | 0
> 1.9 |  #.#.#.# | FINISHED | 0 | 0 | 0 | 112 | 26.9M | 106K | 2.41G | 9.75M | 4.22m | 3.11m | 0
> 2.0 |  #.#.#.# | FINISHED | 0 | 0 | 0 | 865 | 12.2M | 51.1K | 1.50G | 6.43M | 3.98m | 11.59m | 0
> 2.1 |  #.#.#.# | FINISHED | 0 | 0 | 0 | 808 | 10.8M | 45.9K | 1.31G | 5.69M | 3.93m | 10.33m | 0
> 2.2 |  #.#.#.# | FINISHED | 0 | 0 | 0 | 851 | 13.5M | 53.8K | 1.65G | 6.72M | 4.19m | 12.44m | 0
> 2.3 |  #.#.#.# | FINISHED | 0 | 0 | 0 | 874 | 12.6M | 51.3K | 1.53G | 6.40M | 4.08m | 11.64m | 0
> 2.4 |  #.#.#.# | FINISHED | 0 | 0 | 0 | 929 | 12.9M | 52.9K | 1.58G | 6.61M | 4.08m | 11.69m | 0
> 2.5 |  #.#.#.# | FINISHED | 0 | 0 | 0 | 853 | 11.9M | 48.9K | 1.45G | 6.11M | 4.05m | 11.26m | 0
> 2.6 |  #.#.#.# | FINISHED | 0 | 0 | 0 | 837 | 13.0M | 51.3K | 1.58G | 6.41M | 4.21m | 11.82m | 0
> 2.7 |  #.#.#.# | FINISHED | 0 | 0 | 0 | 874 | 12.6M | 52.2K | 1.53G | 6.51M | 4.01m | 11.90m | 0
> 2.8 |  #.#.#.# | FINISHED | 0 | 0 | 0 | 859 | 12.1M | 51.0K | 1.47G | 6.35M | 3.95m | 11.64m | 0
> 2.9 |  #.#.#.# | FINISHED | 0 | 0 | 0 | 918 | 13.1M | 53.2K | 1.59G | 6.63M | 4.09m | 11.73m | 0
> 3.0 |  #.#.#.# | FINISHED | 0 | 0 | 0 | 32 | 8.43M | 82.2K | 560M | 5.46M | 1.71m | 24.59s | 0
> 3.1 |  #.#.#.# | FINISHED | 0 | 0 | 0 | 32 | 8.43M | 82.2K | 560M | 5.46M | 1.71m | 24.72s | 0
> 3.2 |  #.#.#.# | FINISHED | 0 | 0 | 0 | 32 | 8.43M | 82.2K | 560M | 5.46M | 1.71m | 23.43s | 0
> 3.3 |  #.#.#.# | FINISHED | 0 | 0 | 0 | 32 | 8.43M | 82.2K | 560M | 5.46M | 1.71m | 23.98s | 0
> 3.4 |  #.#.#.# | FINISHED | 0 | 0 | 0 | 32 | 8.43M | 82.2K | 560M | 5.45M | 1.71m | 24.72s | 0
> 3.5 |  #.#.#.# | FINISHED | 0 | 0 | 0 | 32 | 8.43M | 82.2K | 560M | 5.46M | 1.71m | 25.19s | 0
> 3.6 |  #.#.#.# | FINISHED | 0 | 0 | 0 | 32 | 8.43M | 82.2K | 560M | 5.46M | 1.71m | 26.20s | 0
> 3.7 |  #.#.#.# | FINISHED | 0 | 0 | 0 | 32 | 8.44M | 82.2K | 560M | 5.46M | 1.71m | 25.34s | 0
> 3.8 |  #.#.#.# | FINISHED | 0 | 0 | 0 | 32 | 8.43M | 82.2K | 560M | 5.46M | 1.71m | 25.96s | 0
> 3.9 |  #.#.#.# | FINISHED | 0 | 0 | 0 | 32 | 8.44M | 82.2K | 560M | 5.46M | 1.71m | 24.71s | 0
> 4.0 |  #.#.#.# | FINISHED | 0 | 0 | 0 | 236 | 8.39M | 92.6K | 787M | 8.69M | 1.51m | 4.37m | 0
> 4.1 |  #.#.#.# | FINISHED | 0 | 0 | 0 | 241 | 7.92M | 90.4K | 742M | 8.47M | 1.46m | 4.09m | 0
> 4.2 |  #.#.#.# | FINISHED | 0 | 0 | 0 | 263 | 7.98M | 90.5K | 746M | 8.45M | 1.47m | 4.10m | 0
> 4.3 |  #.#.#.# | FINISHED | 0 | 0 | 0 | 250 | 8.49M | 96.2K | 796M | 9.02M | 1.47m | 4.52m | 0
> 4.4 |  #.#.#.# | FINISHED | 0 | 0 | 0 | 283 | 8.28M | 99.3K | 774M | 9.28M | 1.39m | 4.17m | 0
> 4.5 |  #.#.#.# | FINISHED | 0 | 0 | 0 | 235 | 7.86M | 87.9K | 739M | 8.27M | 1.49m | 4.01m | 0
> 4.6 |  #.#.#.# | FINISHED | 0 | 0 | 0 | 236 | 10.1M | 109K | 948M | 10.2M | 1.55m | 5.19m | 0
> 4.7 |  #.#.#.# | FINISHED | 0 | 0 | 0 | 231 | 7.54M | 86.7K | 706M | 8.11M | 1.45m | 3.93m | 0
> 4.8 |  #.#.#.# | FINISHED | 0 | 0 | 0 | 269 | 8.57M | 96.5K | 802M | 9.03M | 1.48m | 4.33m | 0
> 4.9 |  #.#.#.# | FINISHED | 0 | 0 | 0 | 252 | 10.4M | 105K | 973M | 9.83M | 1.65m | 5.08m | 0
> 5.0 |  #.#.#.# | FINISHED | 0 | 0 | 0 | 201 | 7.90M | 89.5K | 779M | 8.83M | 1.47m | 4.33m | 0
> 5.1 |  #.#.#.# | FINISHED | 0 | 0 | 0 | 205 | 7.42M | 85.9K | 729M | 8.44M | 1.44m | 4.00m | 0
> 5.2 |  #.#.#.# | FINISHED | 0 | 0 | 0 | 221 | 8.92M | 92.9K | 878M | 9.15M | 1.60m | 4.68m | 0
> 5.3 |  #.#.#.# | FINISHED | 0 | 0 | 0 | 209 | 7.79M | 93.5K | 773M | 9.26M | 1.39m | 4.41m | 0
> 5.4 |  #.#.#.# | FINISHED | 0 | 0 | 0 | 211 | 8.17M | 93.2K | 803M | 9.17M | 1.46m | 4.28m | 0
> 5.5 |  #.#.#.# | FINISHED | 0 | 0 | 0 | 184 | 6.73M | 81.3K | 663M | 8.01M | 1.38m | 3.73m | 0
> 5.6 |  #.#.#.# | FINISHED | 0 | 0 | 0 | 204 | 9.87M | 102K | 975M | 10.0M | 1.62m | 5.17m | 0
> 5.7 |  #.#.#.# | FINISHED | 0 | 0 | 0 | 204 | 11.0M | 97.2K | 1.05G | 9.53M | 1.88m | 5.73m | 0
> 5.8 |  #.#.#.# | FINISHED | 0 | 0 | 0 | 215 | 8.05M | 96.5K | 794M | 9.52M | 1.39m | 4.28m | 0
> 5.9 |  #.#.#.# | FINISHED | 0 | 0 | 0 | 211 | 7.58M | 90.9K | 744M | 8.92M | 1.39m | 4.03m | 0
> 6.0 |  #.#.#.# | FINISHED | 0 | 0 | 0 | 171 | 636K | 24.0K | 75.9M | 2.87M | 26.47s | 21.00s | 0
> 6.1 |  #.#.#.# | FINISHED | 0 | 0 | 0 | 167 | 500K | 20.2K | 62.0M | 2.51M | 24.73s | 15.84s | 0
> 6.2 |  #.#.#.# | FINISHED | 0 | 0 | 0 | 142 | 514K | 23.6K | 61.7M | 2.83M | 21.81s | 16.72s | 0
> 6.3 |  #.#.#.# | FINISHED | 0 | 0 | 0 | 157 | 594K | 25.1K | 72.3M | 3.05M | 23.69s | 19.77s | 0
> 6.4 |  #.#.#.# | FINISHED | 0 | 0 | 0 | 219 | 721K | 26.5K | 90.6M | 3.33M | 27.19s | 23.01s | 0
> 6.5 |  #.#.#.# | FINISHED | 0 | 0 | 0 | 207 | 392K | 18.3K | 58.1M | 2.72M | 21.38s | 13.80s | 0
> 6.6 |  #.#.#.# | FINISHED | 0 | 0 | 0 | 163 | 574K | 23.6K | 68.6M | 2.82M | 24.34s | 18.29s | 0
> 6.7 |  #.#.#.# | FINISHED | 0 | 0 | 0 | 162 | 520K | 21.6K | 66.2M | 2.75M | 24.08s | 17.63s | 0
> 6.8 |  #.#.#.# | FINISHED | 0 | 0 | 0 | 170 | 575K | 24.1K | 74.8M | 3.14M | 23.83s | 19.12s | 0
> 6.9 |  #.#.#.# | FINISHED | 0 | 0 | 0 | 180 | 606K | 23.2K | 76.1M | 2.92M | 26.07s | 19.64s | 0
> 
