Presto coordinator high CPU when plan the SQL, looks like an unsafe use of HashSet in multi threads.
```
 PID USER      PR  NI  VIRT  RES  SHR S %CPU %MEM    TIME+  COMMAND
5144 presto    20   0 92.7g  59g  53m R 100.0 57.9  77:14.65 java
8286 presto    20   0 92.7g  59g  53m R 99.7 57.9  24:25.51 java
5658 presto    20   0 92.7g  59g  53m S  2.0 57.9 204:08.64 java
8271 root      20   0 27996 1916 1088 R  0.7  0.0   0:06.09 top
   13 root      20   0     0    0    0 S  0.3  0.0   0:04.21 ksoftirqd/2
5646 presto    20   0 92.7g  59g  53m S  0.3 57.9   7:49.25 java
5726 presto    20   0 92.7g  59g  53m S  0.3 57.9  20:01.44 java
8304 presto    20   0 92.7g  59g  53m S  0.3 57.9   0:00.15 java
8318 presto    20   0 92.7g  59g  53m S  0.3 57.9   0:00.10 java
8343 presto    20   0 92.7g  59g  53m S  0.3 57.9   0:00.33 java
8347 presto    20   0 92.7g  59g  53m S  0.3 57.9   0:00.08 java
8352 presto    20   0 92.7g  59g  53m S  0.3 57.9   0:00.05 java
```

```
"Query-20170823_092807_00030_5sg4m-27658" #27658 prio=5 os_prio=0 tid=0x00007f8bf44d3bc0 nid=0x1418 runnable [0x00007f8a5ca8f000]
   java.lang.Thread.State: RUNNABLE
        at com.facebook.presto.sql.planner.optimizations.AddExchanges$Rewriter.visitJoin(AddExchanges.java:184)
        at com.facebook.presto.sql.planner.plan.JoinNode.accept(JoinNode.java:205)
        at com.facebook.presto.sql.planner.optimizations.AddExchanges$Rewriter.planChild(AddExchanges.java:1227)
        at com.facebook.presto.sql.planner.optimizations.AddExchanges$Rewriter.visitAggregation(AddExchanges.java:264)
        at com.facebook.presto.sql.planner.optimizations.AddExchanges$Rewriter.visitAggregation(AddExchanges.java:184)
        at com.facebook.presto.sql.planner.plan.AggregationNode.accept(AggregationNode.java:278)
        at com.facebook.presto.sql.planner.optimizations.AddExchanges$Rewriter.planChild(AddExchanges.java:1227)
        at com.facebook.presto.sql.planner.optimizations.AddExchanges$Rewriter.visitOutput(AddExchanges.java:224)
        at com.facebook.presto.sql.planner.optimizations.AddExchanges$Rewriter.visitOutput(AddExchanges.java:184)
        at com.facebook.presto.sql.planner.plan.OutputNode.accept(OutputNode.java:82)
        at com.facebook.presto.sql.planner.optimizations.AddExchanges.optimize(AddExchanges.java:148)
        at com.facebook.presto.sql.planner.LogicalPlanner.plan(LogicalPlanner.java:128)
        at com.facebook.presto.sql.planner.LogicalPlanner.plan(LogicalPlanner.java:119)
        at com.facebook.presto.execution.SqlQueryExecution.doAnalyzeQuery(SqlQueryExecution.java:312)
        at com.facebook.presto.execution.SqlQueryExecution.analyzeQuery(SqlQueryExecution.java:291)
        at com.facebook.presto.execution.SqlQueryExecution.start(SqlQueryExecution.java:247)
                   at com.facebook.presto.execution.QueuedExecution.lambda$start$1(QueuedExecution.java:62)
        at com.facebook.presto.execution.QueuedExecution$$Lambda$757/1889333904.run(Unknown Source)
        at java.util.concurrent.ThreadPoolExecutor.runWorker(ThreadPoolExecutor.java:1142)
        at java.util.concurrent.ThreadPoolExecutor$Worker.run(ThreadPoolExecutor.java:617)
        at java.lang.Thread.run(Thread.java:745)
```
